datetime,portfolio_value,cash,return
2024-01-16 09:30:00-05:00,100000.0,100000.0,
2024-01-17 09:30:00-05:00,99965.59997558594,95247.39990234375,-0.0003440002441406076
2024-01-18 09:30:00-05:00,99987.5,95247.39990234375,0.00021907560620260114
2024-01-19 09:30:00-05:00,100023.8998413086,95247.39990234375,0.00036404391857569607
2024-01-20 09:30:00-05:00,100023.8998413086,95247.39990234375,0.0
2024-01-22 09:30:00-05:00,100087.5,95247.39990234375,0.0006358496198639596
2024-01-23 09:30:00-05:00,100087.5,95247.39990234375,0.0
2024-01-24 09:30:00-05:00,100125.49987792969,95247.39990234375,0.00037966657104715473
2024-01-25 09:30:00-05:00,100123.1997680664,95247.39990234375,-2.2972268463927747e-05
2024-01-26 09:30:00-05:00,100123.29986572266,95247.39990234375,9.997448791043695e-07
2024-01-27 09:30:00-05:00,100123.29986572266,95247.39990234375,0.0
2024-01-29 09:30:00-05:00,100124.70001220703,95247.39990234375,1.3984222316354433e-05
2024-01-30 09:30:00-05:00,100152.99987792969,95247.39990234375,0.00028264619738394003
2024-01-31 09:30:00-05:00,100133.59985351562,95247.39990234375,-0.00019370387744455098
